RNAseq	miRNAseq	validated_c	predicted_c	normalized_counts_RNA_vs_miRNA_normalized_counts_correlation	Eigengene_RNA_vs_miRNA_Eigengene_correlation	Eigengene_RNA_vs_miRNA_hub_1_correlation	Eigengene_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_Eigengene_correlation	hub_1_RNA_vs_miRNA_hub_1_correlation	Target_SYMBOL	miRNA_name
ENSMUSG00000045817	MIMAT0000165	1	0	0.58	0.51	0.54	0.89	0.94	0.52	0.53	Zfp36l2	mmu-miR-155-5p
ENSMUSG00000045854	MIMAT0000154	0	0	0.65	-0.09	0.11	0.53	0.51	-0.12	0.09	Lyrm2	mmu-miR-142a-5p
ENSMUSG00000045854	MIMAT0000158	0	0	0.67	0.62	0.67	0.73	0.69	0.58	0.57	Lyrm2	mmu-miR-146a-5p
ENSMUSG00000045854	MIMAT0000165	1	3	0.76	0.62	0.67	0.78	0.77	0.58	0.57	Lyrm2	mmu-miR-155-5p
ENSMUSG00000045875	MIMAT0000154	0	0	-0.6	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Adra1a	mmu-miR-142a-5p
ENSMUSG00000045875	MIMAT0000158	0	3	-0.56	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Adra1a	mmu-miR-146a-5p
ENSMUSG00000045875	MIMAT0000165	0	0	-0.56	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Adra1a	mmu-miR-155-5p
ENSMUSG00000045896	MIMAT0000154	0	3	-0.57	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Paip2b	mmu-miR-142a-5p
ENSMUSG00000045896	MIMAT0000158	0	3	-0.78	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Paip2b	mmu-miR-146a-5p
ENSMUSG00000045896	MIMAT0000165	1	0	-0.79	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Paip2b	mmu-miR-155-5p
ENSMUSG00000045954	MIMAT0000154	0	2	-0.3	-0.18	-0.35	-0.57	-0.58	-0.15	-0.32	Cavin2	mmu-miR-142a-5p
ENSMUSG00000045954	MIMAT0000158	0	0	-0.58	-0.88	-0.84	-0.74	-0.7	-0.83	-0.82	Cavin2	mmu-miR-146a-5p
ENSMUSG00000045954	MIMAT0000165	0	0	-0.52	-0.88	-0.84	-0.75	-0.72	-0.83	-0.82	Cavin2	mmu-miR-155-5p
ENSMUSG00000045980	MIMAT0000154	0	0	0.39	-0.11	-0.14	0.52	0.57	-0.05	-0.06	Tmem104	mmu-miR-142a-5p
ENSMUSG00000045980	MIMAT0000158	0	0	0.54	0.51	0.54	0.7	0.7	0.52	0.53	Tmem104	mmu-miR-146a-5p
ENSMUSG00000045980	MIMAT0000165	0	0	0.79	0.51	0.54	0.89	0.94	0.52	0.53	Tmem104	mmu-miR-155-5p
ENSMUSG00000045991	MIMAT0000154	0	5	-0.52	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Onecut2	mmu-miR-142a-5p
ENSMUSG00000045991	MIMAT0000158	0	3	-0.71	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Onecut2	mmu-miR-146a-5p
ENSMUSG00000045991	MIMAT0000165	0	3	-0.91	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Onecut2	mmu-miR-155-5p
ENSMUSG00000046034	MIMAT0000154	0	0	0.5	0.04	0.26	0.6	0.55	-0.02	0.17	Otulin	mmu-miR-142a-5p
ENSMUSG00000046034	MIMAT0000158	0	0	0.65	0.7	0.69	0.7	0.66	0.75	0.71	Otulin	mmu-miR-146a-5p
ENSMUSG00000046034	MIMAT0000165	1	2	0.64	0.7	0.69	0.68	0.69	0.75	0.71	Otulin	mmu-miR-155-5p
ENSMUSG00000046096	MIMAT0000154	0	4	-0.62	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Mosmo	mmu-miR-142a-5p
ENSMUSG00000046096	MIMAT0000158	1	6	-0.75	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Mosmo	mmu-miR-146a-5p
ENSMUSG00000046096	MIMAT0000165	1	2	-0.92	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Mosmo	mmu-miR-155-5p
ENSMUSG00000046160	MIMAT0000154	0	0	0.46	-0.16	-0.04	0.59	0.63	-0.09	-0.03	Olig1	mmu-miR-142a-5p
ENSMUSG00000046160	MIMAT0000158	0	5	0.64	0.53	0.65	0.7	0.69	0.55	0.66	Olig1	mmu-miR-146a-5p
ENSMUSG00000046160	MIMAT0000165	0	0	0.81	0.53	0.65	0.87	0.87	0.55	0.66	Olig1	mmu-miR-155-5p
ENSMUSG00000046185	MIMAT0000154	0	2	-0.52	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Zfp84	mmu-miR-142a-5p
ENSMUSG00000046185	MIMAT0000158	0	0	-0.36	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Zfp84	mmu-miR-146a-5p
ENSMUSG00000046185	MIMAT0000165	1	1	-0.42	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Zfp84	mmu-miR-155-5p
ENSMUSG00000046192	MIMAT0000154	0	3	-0.36	-0.21	-0.2	-0.33	-0.1	-0.03	0	Iqub	mmu-miR-142a-5p
ENSMUSG00000046192	MIMAT0000158	0	0	-0.4	-0.36	-0.35	-0.71	-0.49	-0.15	-0.18	Iqub	mmu-miR-146a-5p
ENSMUSG00000046192	MIMAT0000165	1	1	-0.41	-0.36	-0.35	-0.54	-0.37	-0.15	-0.18	Iqub	mmu-miR-155-5p
ENSMUSG00000046240	MIMAT0000154	0	0	0.66	0.3	0.34	0.82	0.81	0.29	0.35	Hepacam	mmu-miR-142a-5p
ENSMUSG00000046240	MIMAT0000158	0	4	0.89	0.72	0.67	0.92	0.93	0.73	0.68	Hepacam	mmu-miR-146a-5p
ENSMUSG00000046240	MIMAT0000165	1	1	0.91	0.72	0.67	0.97	0.98	0.73	0.68	Hepacam	mmu-miR-155-5p
ENSMUSG00000046321	MIMAT0000154	0	0	0.57	0.3	0.34	0.82	0.81	0.29	0.35	Hs3st2	mmu-miR-142a-5p
ENSMUSG00000046321	MIMAT0000158	0	0	0.8	0.72	0.67	0.92	0.93	0.73	0.68	Hs3st2	mmu-miR-146a-5p
ENSMUSG00000046321	MIMAT0000165	0	0	0.81	0.72	0.67	0.97	0.98	0.73	0.68	Hs3st2	mmu-miR-155-5p
ENSMUSG00000046352	MIMAT0000154	0	0	-0.52	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Gjb2	mmu-miR-142a-5p
ENSMUSG00000046352	MIMAT0000158	0	0	-0.76	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Gjb2	mmu-miR-146a-5p
ENSMUSG00000046352	MIMAT0000165	1	1	-0.77	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Gjb2	mmu-miR-155-5p
ENSMUSG00000046387	MIMAT0000154	0	3	-0.45	0.11	0.01	-0.5	-0.55	0.13	0	Pcdhb17	mmu-miR-142a-5p
ENSMUSG00000046387	MIMAT0000158	0	0	-0.7	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Pcdhb17	mmu-miR-146a-5p
ENSMUSG00000046387	MIMAT0000165	1	0	-0.85	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Pcdhb17	mmu-miR-155-5p
ENSMUSG00000046402	MIMAT0000154	0	0	0.53	-0.11	-0.01	0.42	0.47	-0.09	0.06	Rbp1	mmu-miR-142a-5p
ENSMUSG00000046402	MIMAT0000158	0	0	0.64	0.67	0.6	0.67	0.7	0.75	0.73	Rbp1	mmu-miR-146a-5p
ENSMUSG00000046402	MIMAT0000165	1	0	0.9	0.67	0.6	0.83	0.78	0.75	0.73	Rbp1	mmu-miR-155-5p
ENSMUSG00000046410	MIMAT0000154	0	2	0.87	0.39	0.44	0.89	0.85	0.41	0.42	Kcnk6	mmu-miR-142a-5p
ENSMUSG00000046410	MIMAT0000158	0	0	0.82	0.72	0.71	0.84	0.84	0.76	0.7	Kcnk6	mmu-miR-146a-5p
ENSMUSG00000046410	MIMAT0000165	1	0	0.88	0.72	0.71	0.9	0.88	0.76	0.7	Kcnk6	mmu-miR-155-5p
ENSMUSG00000046417	MIMAT0000154	0	0	0.43	0.3	0.34	0.82	0.81	0.29	0.35	Lrrc75a	mmu-miR-142a-5p
ENSMUSG00000046417	MIMAT0000158	0	0	0.74	0.72	0.67	0.92	0.93	0.73	0.68	Lrrc75a	mmu-miR-146a-5p
ENSMUSG00000046417	MIMAT0000165	1	0	0.7	0.72	0.67	0.97	0.98	0.73	0.68	Lrrc75a	mmu-miR-155-5p
ENSMUSG00000046432	MIMAT0000154	0	0	0.19	-0.19	0.06	0.46	0.34	-0.33	-0.1	Bex3	mmu-miR-142a-5p
ENSMUSG00000046432	MIMAT0000158	0	0	0.42	0.66	0.75	0.6	0.53	0.57	0.71	Bex3	mmu-miR-146a-5p
ENSMUSG00000046432	MIMAT0000165	1	0	0.6	0.66	0.75	0.76	0.69	0.57	0.71	Bex3	mmu-miR-155-5p
ENSMUSG00000046434	MIMAT0000154	0	0	-0.43	0.11	0.01	-0.5	-0.55	0.13	0	Hnrnpa1	mmu-miR-142a-5p
ENSMUSG00000046434	MIMAT0000158	0	0	-0.65	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Hnrnpa1	mmu-miR-146a-5p
ENSMUSG00000046434	MIMAT0000165	0	0	-0.75	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Hnrnpa1	mmu-miR-155-5p
ENSMUSG00000046442	MIMAT0000154	0	0	-0.79	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Ppm1e	mmu-miR-142a-5p
ENSMUSG00000046442	MIMAT0000158	0	5	-0.65	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Ppm1e	mmu-miR-146a-5p
ENSMUSG00000046442	MIMAT0000165	1	0	-0.75	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Ppm1e	mmu-miR-155-5p
ENSMUSG00000046470	MIMAT0000154	0	3	0.48	0.48	0.49	0.88	0.91	0.41	0.46	Sox18	mmu-miR-142a-5p
ENSMUSG00000046470	MIMAT0000158	0	0	0.54	0.42	0.4	0.81	0.86	0.53	0.54	Sox18	mmu-miR-146a-5p
ENSMUSG00000046470	MIMAT0000165	0	0	0.62	0.42	0.4	0.79	0.86	0.53	0.54	Sox18	mmu-miR-155-5p
ENSMUSG00000046546	MIMAT0000154	0	0	0.39	-0.11	-0.14	0.52	0.57	-0.05	-0.06	Fam43a	mmu-miR-142a-5p
ENSMUSG00000046546	MIMAT0000158	0	0	0.51	0.51	0.54	0.7	0.7	0.52	0.53	Fam43a	mmu-miR-146a-5p
ENSMUSG00000046546	MIMAT0000165	1	0	0.74	0.51	0.54	0.89	0.94	0.52	0.53	Fam43a	mmu-miR-155-5p
ENSMUSG00000046556	MIMAT0000154	0	0	0.33	0.12	0.06	0.49	0.51	0.04	0.02	Zfp319	mmu-miR-142a-5p
ENSMUSG00000046556	MIMAT0000158	0	0	0.52	0.46	0.36	0.81	0.84	0.51	0.48	Zfp319	mmu-miR-146a-5p
ENSMUSG00000046556	MIMAT0000165	1	0	0.72	0.46	0.36	0.86	0.88	0.51	0.48	Zfp319	mmu-miR-155-5p
ENSMUSG00000046562	MIMAT0000154	0	0	0.64	0.3	0.34	0.82	0.81	0.29	0.35	Unc119b	mmu-miR-142a-5p
ENSMUSG00000046562	MIMAT0000158	0	4	0.72	0.72	0.67	0.92	0.93	0.73	0.68	Unc119b	mmu-miR-146a-5p
ENSMUSG00000046562	MIMAT0000165	1	0	0.88	0.72	0.67	0.97	0.98	0.73	0.68	Unc119b	mmu-miR-155-5p
ENSMUSG00000046567	MIMAT0000154	0	4	-0.18	-0.09	-0.09	-0.62	-0.55	-0.03	-0.06	4930430F08Rik	mmu-miR-142a-5p
ENSMUSG00000046567	MIMAT0000158	0	0	-0.5	-0.64	-0.63	-0.84	-0.81	-0.61	-0.63	4930430F08Rik	mmu-miR-146a-5p
ENSMUSG00000046567	MIMAT0000165	1	0	-0.57	-0.64	-0.63	-0.94	-0.93	-0.61	-0.63	4930430F08Rik	mmu-miR-155-5p
ENSMUSG00000046574	MIMAT0000154	0	0	0.46	0.12	0.06	0.49	0.51	0.04	0.02	Prr12	mmu-miR-142a-5p
ENSMUSG00000046574	MIMAT0000158	0	0	0.71	0.46	0.36	0.81	0.84	0.51	0.48	Prr12	mmu-miR-146a-5p
ENSMUSG00000046574	MIMAT0000165	1	0	0.85	0.46	0.36	0.86	0.88	0.51	0.48	Prr12	mmu-miR-155-5p
ENSMUSG00000046667	MIMAT0000154	0	0	0.14	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Rbm12b1	mmu-miR-142a-5p
ENSMUSG00000046667	MIMAT0000158	0	0	-0.11	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Rbm12b1	mmu-miR-146a-5p
ENSMUSG00000046667	MIMAT0000165	0	0	-0.29	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Rbm12b1	mmu-miR-155-5p
ENSMUSG00000046668	MIMAT0000154	0	0	0.17	-0.04	0.06	0.57	0.56	-0.08	0.05	Cxxc5	mmu-miR-142a-5p
ENSMUSG00000046668	MIMAT0000158	0	0	0.43	0.66	0.66	0.81	0.79	0.66	0.71	Cxxc5	mmu-miR-146a-5p
ENSMUSG00000046668	MIMAT0000165	1	0	0.66	0.66	0.66	0.95	0.91	0.66	0.71	Cxxc5	mmu-miR-155-5p
ENSMUSG00000046671	MIMAT0000154	0	3	0.11	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Mtfr1l	mmu-miR-142a-5p
ENSMUSG00000046671	MIMAT0000158	0	0	-0.13	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Mtfr1l	mmu-miR-146a-5p
ENSMUSG00000046671	MIMAT0000165	1	5	0.02	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Mtfr1l	mmu-miR-155-5p
ENSMUSG00000046688	MIMAT0000154	0	0	0.55	-0.04	0.06	0.57	0.56	-0.08	0.05	Tifa	mmu-miR-142a-5p
ENSMUSG00000046688	MIMAT0000158	0	0	0.58	0.66	0.66	0.81	0.79	0.66	0.71	Tifa	mmu-miR-146a-5p
ENSMUSG00000046688	MIMAT0000165	1	4	0.79	0.66	0.66	0.95	0.91	0.66	0.71	Tifa	mmu-miR-155-5p
ENSMUSG00000046699	MIMAT0000154	0	4	-0.57	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Slitrk4	mmu-miR-142a-5p
ENSMUSG00000046699	MIMAT0000158	0	6	-0.72	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Slitrk4	mmu-miR-146a-5p
ENSMUSG00000046699	MIMAT0000165	0	3	-0.84	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Slitrk4	mmu-miR-155-5p
ENSMUSG00000046718	MIMAT0000154	0	0	0.74	0.3	0.34	0.82	0.81	0.29	0.35	Bst2	mmu-miR-142a-5p
ENSMUSG00000046718	MIMAT0000158	0	0	0.81	0.72	0.67	0.92	0.93	0.73	0.68	Bst2	mmu-miR-146a-5p
ENSMUSG00000046718	MIMAT0000165	1	0	0.97	0.72	0.67	0.97	0.98	0.73	0.68	Bst2	mmu-miR-155-5p
ENSMUSG00000046722	MIMAT0000154	0	0	0.71	-0.04	0.06	0.57	0.56	-0.08	0.05	Cdc42se1	mmu-miR-142a-5p
ENSMUSG00000046722	MIMAT0000158	0	0	0.86	0.66	0.66	0.81	0.79	0.66	0.71	Cdc42se1	mmu-miR-146a-5p
ENSMUSG00000046722	MIMAT0000165	1	1	0.92	0.66	0.66	0.95	0.91	0.66	0.71	Cdc42se1	mmu-miR-155-5p
ENSMUSG00000046753	MIMAT0000154	0	0	-0.49	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Ccdc66	mmu-miR-142a-5p
ENSMUSG00000046753	MIMAT0000158	0	0	-0.5	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Ccdc66	mmu-miR-146a-5p
ENSMUSG00000046753	MIMAT0000165	1	0	-0.7	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Ccdc66	mmu-miR-155-5p
ENSMUSG00000046785	MIMAT0000154	0	4	-0.56	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Epm2aip1	mmu-miR-142a-5p
ENSMUSG00000046785	MIMAT0000158	0	0	-0.68	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Epm2aip1	mmu-miR-146a-5p
ENSMUSG00000046785	MIMAT0000165	1	1	-0.8	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Epm2aip1	mmu-miR-155-5p
ENSMUSG00000046805	MIMAT0000154	0	0	0.75	0.3	0.34	0.82	0.81	0.29	0.35	Mpeg1	mmu-miR-142a-5p
ENSMUSG00000046805	MIMAT0000158	0	0	0.92	0.72	0.67	0.92	0.93	0.73	0.68	Mpeg1	mmu-miR-146a-5p
ENSMUSG00000046805	MIMAT0000165	1	6	0.96	0.72	0.67	0.97	0.98	0.73	0.68	Mpeg1	mmu-miR-155-5p
ENSMUSG00000046818	MIMAT0000154	0	0	0.46	-0.19	0.06	0.46	0.34	-0.33	-0.1	Ddit4l	mmu-miR-142a-5p
ENSMUSG00000046818	MIMAT0000158	0	4	0.66	0.66	0.75	0.6	0.53	0.57	0.71	Ddit4l	mmu-miR-146a-5p
ENSMUSG00000046818	MIMAT0000165	0	0	0.67	0.66	0.75	0.76	0.69	0.57	0.71	Ddit4l	mmu-miR-155-5p
ENSMUSG00000046822	MIMAT0000154	0	0	0.5	0.02	0.08	0.65	0.67	0.05	0.09	Slc39a3	mmu-miR-142a-5p
ENSMUSG00000046822	MIMAT0000158	0	3	0.76	0.72	0.7	0.8	0.83	0.7	0.69	Slc39a3	mmu-miR-146a-5p
ENSMUSG00000046822	MIMAT0000165	0	0	0.69	0.72	0.7	0.93	0.92	0.7	0.69	Slc39a3	mmu-miR-155-5p
ENSMUSG00000046841	MIMAT0000154	0	0	0.63	0.3	0.34	0.82	0.81	0.29	0.35	Ckap4	mmu-miR-142a-5p
ENSMUSG00000046841	MIMAT0000158	0	0	0.51	0.72	0.67	0.92	0.93	0.73	0.68	Ckap4	mmu-miR-146a-5p
ENSMUSG00000046841	MIMAT0000165	1	0	0.73	0.72	0.67	0.97	0.98	0.73	0.68	Ckap4	mmu-miR-155-5p
ENSMUSG00000046861	MIMAT0000154	0	0	0.43	-0.04	0.06	0.57	0.56	-0.08	0.05	Hectd3	mmu-miR-142a-5p
ENSMUSG00000046861	MIMAT0000158	0	0	0.71	0.66	0.66	0.81	0.79	0.66	0.71	Hectd3	mmu-miR-146a-5p
ENSMUSG00000046861	MIMAT0000165	1	0	0.83	0.66	0.66	0.95	0.91	0.66	0.71	Hectd3	mmu-miR-155-5p
ENSMUSG00000046879	MIMAT0000154	0	0	0.83	0.39	0.44	0.89	0.85	0.41	0.42	Irgm1	mmu-miR-142a-5p
ENSMUSG00000046879	MIMAT0000158	0	0	0.82	0.72	0.71	0.84	0.84	0.76	0.7	Irgm1	mmu-miR-146a-5p
ENSMUSG00000046879	MIMAT0000165	1	0	0.77	0.72	0.71	0.9	0.88	0.76	0.7	Irgm1	mmu-miR-155-5p
ENSMUSG00000046962	MIMAT0000154	0	0	-0.25	0.11	0.01	-0.5	-0.55	0.13	0	Zbtb21	mmu-miR-142a-5p
ENSMUSG00000046962	MIMAT0000158	0	0	-0.53	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Zbtb21	mmu-miR-146a-5p
ENSMUSG00000046962	MIMAT0000165	1	0	-0.76	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Zbtb21	mmu-miR-155-5p
ENSMUSG00000046982	MIMAT0000154	0	4	-0.07	0.35	0.11	-0.26	-0.21	0.42	0.22	Tshz1	mmu-miR-142a-5p
ENSMUSG00000046982	MIMAT0000158	0	3	0.02	-0.46	-0.69	-0.31	-0.36	-0.48	-0.66	Tshz1	mmu-miR-146a-5p
ENSMUSG00000046982	MIMAT0000165	1	1	-0.03	-0.46	-0.69	-0.53	-0.61	-0.48	-0.66	Tshz1	mmu-miR-155-5p
ENSMUSG00000046985	MIMAT0000154	1	5	-0.53	0.11	0.01	-0.5	-0.55	0.13	0	Tapt1	mmu-miR-142a-5p
ENSMUSG00000046985	MIMAT0000158	0	0	-0.69	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Tapt1	mmu-miR-146a-5p
ENSMUSG00000046985	MIMAT0000165	1	1	-0.81	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Tapt1	mmu-miR-155-5p
ENSMUSG00000047030	MIMAT0000154	0	0	0.38	-0.11	-0.01	0.42	0.47	-0.09	0.06	Spata2	mmu-miR-142a-5p
ENSMUSG00000047030	MIMAT0000158	0	0	0.69	0.67	0.6	0.67	0.7	0.75	0.73	Spata2	mmu-miR-146a-5p
ENSMUSG00000047030	MIMAT0000165	1	1	0.72	0.67	0.6	0.83	0.78	0.75	0.73	Spata2	mmu-miR-155-5p
ENSMUSG00000047036	MIMAT0000154	0	0	-0.62	-0.09	-0.09	-0.62	-0.55	-0.03	-0.06	Zfp445	mmu-miR-142a-5p
ENSMUSG00000047036	MIMAT0000158	0	3	-0.78	-0.64	-0.63	-0.84	-0.81	-0.61	-0.63	Zfp445	mmu-miR-146a-5p
ENSMUSG00000047036	MIMAT0000165	1	3	-0.96	-0.64	-0.63	-0.94	-0.93	-0.61	-0.63	Zfp445	mmu-miR-155-5p
ENSMUSG00000047090	MIMAT0000154	0	0	0.25	0.3	0.34	0.82	0.81	0.29	0.35	Tmem198b	mmu-miR-142a-5p
ENSMUSG00000047090	MIMAT0000158	0	0	0.49	0.72	0.67	0.92	0.93	0.73	0.68	Tmem198b	mmu-miR-146a-5p
ENSMUSG00000047090	MIMAT0000165	1	0	0.61	0.72	0.67	0.97	0.98	0.73	0.68	Tmem198b	mmu-miR-155-5p
ENSMUSG00000047126	MIMAT0000154	1	4	-0.63	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Cltc	mmu-miR-142a-5p
ENSMUSG00000047126	MIMAT0000158	0	0	-0.66	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Cltc	mmu-miR-146a-5p
ENSMUSG00000047126	MIMAT0000165	1	2	-0.77	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Cltc	mmu-miR-155-5p
ENSMUSG00000047139	MIMAT0000154	0	0	0.14	0.03	-0.21	-0.52	-0.48	0.02	-0.23	Cd24a	mmu-miR-142a-5p
ENSMUSG00000047139	MIMAT0000158	0	0	-0.2	-0.55	-0.57	-0.55	-0.43	-0.44	-0.47	Cd24a	mmu-miR-146a-5p
ENSMUSG00000047139	MIMAT0000165	1	0	-0.2	-0.55	-0.57	-0.57	-0.41	-0.44	-0.47	Cd24a	mmu-miR-155-5p
ENSMUSG00000047146	MIMAT0000154	0	3	-0.58	0.11	0.01	-0.5	-0.55	0.13	0	Tet1	mmu-miR-142a-5p
ENSMUSG00000047146	MIMAT0000158	1	2	-0.82	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Tet1	mmu-miR-146a-5p
ENSMUSG00000047146	MIMAT0000165	1	0	-0.88	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Tet1	mmu-miR-155-5p
ENSMUSG00000047180	MIMAT0000154	0	0	0.76	0.3	0.34	0.82	0.81	0.29	0.35	Neurl3	mmu-miR-142a-5p
ENSMUSG00000047180	MIMAT0000158	0	2	0.82	0.72	0.67	0.92	0.93	0.73	0.68	Neurl3	mmu-miR-146a-5p
ENSMUSG00000047180	MIMAT0000165	0	0	0.94	0.72	0.67	0.97	0.98	0.73	0.68	Neurl3	mmu-miR-155-5p
ENSMUSG00000047181	MIMAT0000154	0	0	0.37	-0.08	0.09	0.52	0.58	-0.01	0.16	Samd14	mmu-miR-142a-5p
ENSMUSG00000047181	MIMAT0000158	0	0	0.54	0.58	0.56	0.64	0.69	0.59	0.59	Samd14	mmu-miR-146a-5p
ENSMUSG00000047181	MIMAT0000165	1	0	0.54	0.58	0.56	0.88	0.89	0.59	0.59	Samd14	mmu-miR-155-5p
ENSMUSG00000047193	MIMAT0000154	0	0	-0.64	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Dync2h1	mmu-miR-142a-5p
ENSMUSG00000047193	MIMAT0000158	0	0	-0.77	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Dync2h1	mmu-miR-146a-5p
ENSMUSG00000047193	MIMAT0000165	1	1	-0.83	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Dync2h1	mmu-miR-155-5p
ENSMUSG00000047213	MIMAT0000154	1	5	-0.34	-0.18	-0.35	-0.57	-0.58	-0.15	-0.32	Ythdf3	mmu-miR-142a-5p
ENSMUSG00000047213	MIMAT0000158	0	0	-0.44	-0.88	-0.84	-0.74	-0.7	-0.83	-0.82	Ythdf3	mmu-miR-146a-5p
ENSMUSG00000047213	MIMAT0000165	1	2	-0.57	-0.88	-0.84	-0.75	-0.72	-0.83	-0.82	Ythdf3	mmu-miR-155-5p
ENSMUSG00000047250	MIMAT0000154	0	7	0.79	0.39	0.44	0.89	0.85	0.41	0.42	Ptgs1	mmu-miR-142a-5p
ENSMUSG00000047250	MIMAT0000158	0	0	0.75	0.72	0.71	0.84	0.84	0.76	0.7	Ptgs1	mmu-miR-146a-5p
ENSMUSG00000047250	MIMAT0000165	0	0	0.83	0.72	0.71	0.9	0.88	0.76	0.7	Ptgs1	mmu-miR-155-5p
ENSMUSG00000047260	MIMAT0000154	0	0	0.53	0.02	0.08	0.65	0.67	0.05	0.09	Emc6	mmu-miR-142a-5p
ENSMUSG00000047260	MIMAT0000158	0	0	0.54	0.72	0.7	0.8	0.83	0.7	0.69	Emc6	mmu-miR-146a-5p
ENSMUSG00000047260	MIMAT0000165	0	0	0.85	0.72	0.7	0.93	0.92	0.7	0.69	Emc6	mmu-miR-155-5p
ENSMUSG00000047371	MIMAT0000154	0	0	0.68	0.39	0.44	0.89	0.85	0.41	0.42	Zfp768	mmu-miR-142a-5p
ENSMUSG00000047371	MIMAT0000158	0	0	0.65	0.72	0.71	0.84	0.84	0.76	0.7	Zfp768	mmu-miR-146a-5p
ENSMUSG00000047371	MIMAT0000165	1	0	0.83	0.72	0.71	0.9	0.88	0.76	0.7	Zfp768	mmu-miR-155-5p
ENSMUSG00000047407	MIMAT0000154	1	0	0.89	0.39	0.44	0.89	0.85	0.41	0.42	Tgif1	mmu-miR-142a-5p
ENSMUSG00000047407	MIMAT0000158	1	4	0.71	0.72	0.71	0.84	0.84	0.76	0.7	Tgif1	mmu-miR-146a-5p
ENSMUSG00000047407	MIMAT0000165	1	1	0.79	0.72	0.71	0.9	0.88	0.76	0.7	Tgif1	mmu-miR-155-5p
ENSMUSG00000047412	MIMAT0000154	0	2	-0.07	0.11	0.01	-0.5	-0.55	0.13	0	Zbtb44	mmu-miR-142a-5p
ENSMUSG00000047412	MIMAT0000158	0	0	-0.48	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Zbtb44	mmu-miR-146a-5p
ENSMUSG00000047412	MIMAT0000165	1	1	-0.57	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Zbtb44	mmu-miR-155-5p
ENSMUSG00000047423	MIMAT0000154	0	0	0.23	-0.11	-0.01	0.42	0.47	-0.09	0.06	AI837181	mmu-miR-142a-5p
ENSMUSG00000047423	MIMAT0000158	0	0	0.5	0.67	0.6	0.67	0.7	0.75	0.73	AI837181	mmu-miR-146a-5p
